('grand',):30
('wonderful',):22
('entirely',):6
('fill',):7
('would',):369
('cup',):46
('thank',):28
('slipping',):5
('milkcan',):2
('forearm',):6
('bill',):15
('better',):128
('pay',):40
('hadn',):16
('halting',):1
('seven',):39
('mornings',):4
('pint',):16
('twopence',):10
('twos',):1
('shilling',):16
('fourpence',):7
('quarts',):1
('crust',):3
('buttered',):8
('both',):102
('sides',):24
('stretched',):15
('forth',):56
('smiling',):34
('third',):27
('spoonful',):1
('colouring',):2
('faintly',):5
('florin',):5
('twisted',):10
('miracle',):2
('coin',):18
('uneager',):1
('owe',):5
('taking',):55
('curtseyed',):1
('tender',):14
('chant',):7
('stony',):5
('hurry',):14
('today',):69
('bards',):4
('junket',):1
('expects',):2
('duty',):14
('reminds',):8
('rising',):30
('visit',):15
('national',):29
('library',):21
('swim',):7
('blandly',):2
('monthly',):4
('wash',):17
('point',):67
('washing',):14
('once',):125
('month',):25
('washed',):11
('gulfstream',):2
('trickle',):2
('knotting',):1
('easily',):27
('scarf',):5
('collar',):21
('tennis',):6
('intend',):3
('collection',):9
('sayings',):1
('speaking',):23
('tub',):3
('scrub',):2
('agenbite',):7
('inwit',):5
('spot',):21
('being',):170
('deuced',):2
('kicked',):9
('foot',):75
('warmth',):11
('hamlet',):27
('just',):237
('creature',):15
('soft',):47
('hat',):163
('holdfast',):1
('strolled',):7
('coarse',):5
('vigour',):4
('put',):200
('hoof',):9
('problem',):16
('milkwoman',):1
('toss',):5
('blow',):18
('along',):112
('lousy',):2
('leer',):1
('jibes',):2
('hope',):61
('tragically',):2
('changed',):21
('truth',):27
('hell',):47
('disrobed',):2
('resignedly',):3
('stripped',):4
('garments',):9
('emptied',):1
('snotrag',):1
('putting',):28
('stiff',):19
('rebellious',):1
('tie',):13
('chiding',):2
('dangling',):8
('watchchain',):3
('plunged',):4
('rummaged',):1
('trunk',):6
('clean',):40
('dress',):39
('puce',):3
('gloves',):18
('boots',):53
('contradiction',):2
('contradict',):2
('mercurial',):3
('limp',):12
('missile',):2
('flew',):11
('latin',):10
('quarter',):20
('picked',):15
('fellows',):31
('eaten',):12
('resigned',):1
('gait',):5
('wellnigh',):1
('sorrow',):13
('met',):58
('butterly',):2
('ashplant',):25
('leaningplace',):1
('ladder',):5
('iron',):17
('huge',):17
('preceding',):10
('club',):11
('heavy',):40
('bathtowel',):1
('leader',):7
('shoots',):3
('ferns',):4
('grasses',):2
('dare',):12
('rent',):10
('twelve',):24
('secretary',):5
('state',):24
('war',):24
('surveyed',):1
('rather',):57
('bleak',):2
('wintertime',):2
('martello',):2
('billy',):5
('pitt',):1
('built',):13
('ours',):7
('_omphalos_',):3
('idea',):55
('shouted',):11
('pain',):17
('equal',):15
('thomas',):25
('aquinas',):3
('fiftyfive',):1
('prop',):1
('pints',):8
('peaks',):5
('primrose',):3
('waistcoat',):24
('couldn',):46
('manage',):3
('waited',):18
('listlessly',):4
('pique',):1
('curiosity',):7
('amiably',):3
('paradox',):3
('pooh',):3
('grown',):5
('paradoxes',):2
('simple',):29
('proves',):3
('algebra',):3
('grandson',):3
('shakespeare',):44
('grandfather',):11
('ghost',):26
('father',):279
('beginning',):17
('slung',):7
('towel',):3
('stolewise',):1
('bending',):14
('ear',):53
('shade',):19
('elder',):8
('japhet',):1
('tired',):20
('walking',):55
('raised',):34
('sacred',):24
('unbind',):1
('tongue',):44
('explained',):9
('cliffs',):3
('remind',):13
('somehow',):11
('elsinore',):2
('_that',):4
